date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:45	21453/21453	---M-Z	200	added ('OK')	text/html	etag:W/%22ea1a1999a1b4bba2a2862cd6346d8861%22	http://site180111.nicepage.io/Home.html	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/Home.html	(from )
10:15:45	2468/2468	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22bbaca2827a0829f571fd4c98c162b6d2%22	http://site180111.nicepage.io/robots.txt		(from )
10:15:47	821120/821120	---M-Z	200	added ('OK')	text/css	etag:W/%22e3583a70e126300b25699c02fbd94b8b%22	http://site180111.nicepage.io/nicepage-site.css	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/nicepage-site.css	(from http://site180111.nicepage.io/Home.html)
10:15:48	629900/629900	---MCZ	200	added ('OK')	text/css	etag:W/%22b7c780ee36eb502ae007d4f13367c025%22	http://capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.css	C:/My%20Web%20Sites/front%20end%20scrape/capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.css	(from http://site180111.nicepage.io/Home.html)
10:15:48	2827/2827	---M-Z	200	added ('OK')	text/css	etag:W/%2290746db85a709e688fcf8ed35dd476a3%22	http://site180111.nicepage.io/Home.css	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/Home.css	(from http://site180111.nicepage.io/Home.html)
10:15:51	8066/8066	---M-Z	200	added ('OK')	text/html	etag:W/%2234b9a54efd7180a3d214e00b8fbace32%22	http://site180111.nicepage.io/Content-Manager.html	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/Content-Manager.html	(from http://site180111.nicepage.io/Home.html)
10:15:53	8021/8021	---M-Z	200	added ('OK')	text/html	etag:W/%228bf567f343e536f6c09c265c1882b9de%22	http://site180111.nicepage.io/Upload.html	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/Upload.html	(from http://site180111.nicepage.io/Home.html)
10:15:53	304300/304300	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2220693932de052852374b3624b8d2dfd5%22	http://capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.js	C:/My%20Web%20Sites/front%20end%20scrape/capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.js	(from http://site180111.nicepage.io/Home.html)
10:15:53	8244/8244	---M-Z	200	added ('OK')	text/html	etag:W/%22ea64cb8227dc6f6cff1bf10d7d90ee15%22	http://site180111.nicepage.io/Contact-Us.html	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/Contact-Us.html	(from http://site180111.nicepage.io/Home.html)
10:15:54	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/My%20Web%20Sites/front%20end%20scrape/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from http://site180111.nicepage.io/Home.html)
10:15:55	258132/258132	---M--	200	added ('OK')	image/jpeg	etag:%22a87db390e97e6ceb515ba121993b7470%22	https://assets.nicepagecdn.com/792fa3ce/5198378/images/224519277-01.jpeg	C:/My%20Web%20Sites/front%20end%20scrape/assets.nicepagecdn.com/792fa3ce/5198378/images/224519277-01.jpg	(from http://site180111.nicepage.io/Home.css)
10:15:56	8503/8503	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22bbaca2827a0829f571fd4c98c162b6d2%22	http://site180111.nicepage.io/Content/BundledScripts/	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.js)
10:15:56	5034/5034	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22f8b743d4c70f92952af16fb7d0e804ed%22	http://site180111.nicepage.io/signature.png	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/signature.png	(from http://capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.js)
10:15:56	30121/30121	---M--	200	added ('OK')	image/png	etag:%22bcfc935f3b0dc89a5ccb61edaa509461%22	https://assets.nicepagecdn.com/792fa3ce/5198378/images/6dc708603ea7966a05bec665d5fbbd1d7f817048a978d25c5b35df5583b7ae3ce492ba814f59daedbf52bf56bb48bcae169e2ab6b3a6158cc60d72_1280.png	C:/My%20Web%20Sites/front%20end%20scrape/assets.nicepagecdn.com/792fa3ce/5198378/images/6dc708603ea7966a05bec665d5fbbd1d7f817048a978d25c5b35df5583b7ae3ce492ba814f59daedbf52bf56bb48bcae169e2ab6b3a6158cc60d72_1280.png	(from http://site180111.nicepage.io/Home.css)
10:15:57	8503/8503	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22bbaca2827a0829f571fd4c98c162b6d2%22	http://site180111.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/front%20end%20scrape/site180111.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/601cfd103136c436f6b389d2a70a597912fecb86/nicepage.js)
